Tag,Count
hip-hop,7415
rap,7297
pop,6777
rock,4082
trap,2595
alternative,2562
rhythm and blues,1798
electronic,1496
folk,1494
indie,1461
indie pop,1290
synth pop,1278
metal,1229
underground hip-hop,908
alternative rock,893
80s,803
country,652
indie rock,592
electropop,485
heavy metal,483
french hip hop,466
grunge,433
french,417
thrash metal,372
jazz,367
french rap,354
dance,326
punk rock,315
soul,312
american,311
emo,309
industrial,304
spanish,294
dirty south,291
british,282
hard rock,281
punk,280
nu metal,278
swedish,258
west coast hip hop,253
grindcore,245
christian,232
gospel,218
christian rock,212
easy listening,211
classic rock,199
romanian,190
funk,189
indie folk,187
alternative pop,175
j-pop,174
italian,171
japanese,165
gangsta rap,160
russia,158
new wave,153
death metal,150
60s,148
skate punk,146
canada,145
latin pop,142
vocal jazz,140
latin,139
americana,137
cloud rap,136
pop rap,135
k-pop,134
drill,129
experimental,128
hyphy,125
indonesian,118
post-rock,107
worship,107
classic country,102
screamo,98
chillwave,93
progressive rock,92
blues,83
alternative metal,79
soundtrack,78
korean,77
post-hardcore,77
greek,73
german,70
gothic metal,68
turkish,66
rap metal,64
german rap,62
polish,62
norwegian,61
synthwave,60
jazz rap,59
downtempo,55
chillout,53
alternative hip hop,52
metalcore,50
christmas,49
arabic,47
persian,46
underground hip hop,44
azerbaijan,43
pinoy,42
ska,42
nigerian,40
progressive metal,38
oldies,38
emo rap,37
filipino,37
psychedelic rock,36
france,35
grime,35
reggaeton,35
bollywood,34
uk hip-hop,34
serbian,31
southern rap,30
nepal,29
reggae,29
pop rock,28
danish,27
india,27
country pop,26
90s,26
irish,25
j-rock,25
swing,24
trance,24
ambient,24
djent,22
comedy,22
disco,22
rap rock,21
power metal,20
house,19
bongo flava,18
alternative rnb,16
pop punk,16
drill rap,15
rap francais,13
sad,12
indonesia,11
folk punk,10
opm,10
chiptune,9
nigeria,9
thai,8
uk,8
psychedelic,8
brasil,7
folk rock,6
doom metal,6
african,6
hardcore,6
love,5
southern hip hop,5
balkan,5
britpop,5
eurodance,4
shoegaze,4
piano,4
black metal,3
chill,3
alternative hip-hop,3
dream pop,3
post-punk,3
french hip-hop,3
west coast rap,2
banda,2
groove metal,2
new zealand,2
chinese,2
folk metal,2
lo-fi,2
indie hip-hop,2
folk pop,2
psychedelic pop,2
industrial metal,2
blues rock,2
neo-soul,2
bossa nova,1
schlager,1
queer,1
smooth jazz,1
vocal,1
70s,1
acoustic,1
teen pop,1
trap metal,1
urban,1
garage rock,1
deep house,1
tanzania,1
boyband,1
dubstep,1
emocore,1
linkin park,1
