Tag,Count
hip-hop,5770
rap,5626
pop,5326
female vocalists,3311
rock,2974
alternative,1938
indie,1908
trap,1783
dance,1627
soul,1507
electronic,1489
rnb,1352
alternative rock,1127
indie pop,1116
metal,971
80s,954
folk,817
singer-songwriter,812
all,717
country,692
jazz,662
hard rock,648
christian,627
indie rock,600
french,597
90s,584
british,570
heavy metal,570
thrash metal,539
emo rap,520
french rap,511
funk,505
dirty south,487
southern rap,477
70s,477
classic rock,473
gospel,450
swedish,434
grunge,409
underground hip-hop,398
punk,394
cloud rap,394
pop rock,386
drill,384
punk rock,382
mariah carey,356
pop rap,355
canadian,347
rap francais,336
death metal,313
industrial,309
emo,302
synth pop,297
cover,292
nu metal,289
ambient,283
chicago,282
acoustic,282
latin,277
experimental,272
uk,271
philly,265
nana mouskouri,264
greek,261
britpop,259
lo-fi,259
spanish,246
metalcore,244
rage,244
remix,243
grindcore,238
ska,224
russian,221
hardcore,220
japanese,211
electropop,208
usa,204
female vocalist,201
romanian,194
romanian hip-hop,194
new wave,192
east coast rap,189
italian,189
grime,186
vocal jazz,186
blues,182
groove metal,181
electronica,178
memphis,177
post-hardcore,177
hyphy,167
dream pop,166
bay area,166
west coast rap,165
gothic metal,160
madonna,160
michael jackson,153
60s,152
christian rock,152
deutschrap,143
industrial rock,138
american,137
german,134
disney,132
k-pop,130
pop punk,130
love at first listen,130
indie folk,125
j-pop,125
progressive rock,125
country pop,123
azerbaijan,122
neo-soul,122
love,120
ballad,117
lil uzi vert,116
post-punk,115
chill,113
danish,112
melancholic,106
french hip hop,104
nas,104
house,102
leonard cohen,101
vocal,100
alternative rap,99
gangsta rap,99
beautiful,97
psychedelic,96
oldies,95
female fronted metal,94
mexico,94
france,94
2010s,93
metallica,93
dubstep,93
male,90
serbian,90
lady gaga,89
rhythm and blues,88
soundtrack,88
art pop,83
korean,83
electroclash,81
americana,80
idm,80
new york,79
00s,79
mac miller,78
christmas,77
philippines,76
spoken word,75
spanish hip-hop,74
lil wayne,74
legend,70
folk punk,70
covers,70
2020,70
unreleased,70
bro-country,69
contemporary country,69
alternative metal,69
bossa nova,69
power metal,68
sad,67
shoegaze,66
polish,65
french hip-hop,65
progressive metal,64
folk rock,63
norwegian,63
2019,63
breakcore,63
pop espanol,62
linkin park,62
jam,62
banda,62
lana del rey,61
jam band,60
shibuya-kei,60
digital hardcore,60
geek music,60
rap nerd,60
indonesian,60
progressive,59
post-rock,59
one direction,59
poetry,59
nigeria,58
instrumental,58
male vocalists,58
lady antebellum,57
turkish,56
swing,55
dominican,55
miley cyrus,54
new zealand,54
cold wave,54
disco,53
post-metal,53
christian ska,53
old school death metal,53
ditc,52
chillwave,51
modern country,51
the only true metal of steel,51
led zeppelin,50
drum and bass,50
parody,50
oasis,50
opm,50
soft rock,50
dance pop,49
2017,48
10s,48
retro,48
sexy,47
boyband,47
riot grrrl,47
2018,47
teen pop,47
noise,46
glo-fi,46
chillout,46
seattle,46
live,46
arabic,46
world,46
epic,45
nickelback,45
demo,44
reggae,44
lebanese,44
queen of pop,44
2020s,43
nct dream,43
funny,43
retro pop,42
king of pop,42
feel quiet and happy,42
powerpop,41
mellow,41
hiphop,41
skate punk,41
worship,40
2016,40
2014,40
australian,40
psychedelic rock,40
yandex music,40
sludge,39
trance,39
piano,39
london,39
nct,39
uk hip-hop,39
maroon 5,38
psychill,38
2023,38
hyperpop,38
2012,38
deathcore,37
swedish hip hop,37
madagascar,36
eurovision,36
underground rap,36
auto-tune,36
spanish pop,35
amazing,35
bedroom pop,35
martial industrial,35
folk metal,35
eurodance,35
rhythmic noise,35
african,34
outkast,34
ls,34
meek mill,34
namie amuro,34
art rock,33
rb,33
rap malandro,33
hip hop mexicano,33
screamo,33
electro pop,33
ivory coast,32
crossover,32
reggaeton,32
techno,32
power pop,32
black metal,32
british artist,32
jersey club,32
irapuato,31
rusia,31
filipino,31
brutal necrocanibalistic grindcore with certain influences of father rydzyk,31
easy listening,31
nogales,31
blues rock,31
soukous,31
sonora,31
sinaloa,31
2000s,31
brutal death metal,30
ska revival,30
hardcore rap,30
cottagecore,30
goblincore,30
lara fabian,30
english lyrics,30
surf,29
sadcore,29
2022,29
6 of 10 stars,29
speed metal,29
religious,29
nepal,29
queer,29
machete,29
classic country,29
progressive metalcore,29
edm,28
tanzania,28
catchy,28
minimal techno,28
minimal,28
serbia,28
zimna fala,28
my chemical romance,28
bongo flava,28
electro,27
spotify,27
party,27
male vocalist,27
owl city,27
africain-francais,27
2013,27
indo,26
urban,26
weird,26
guitar,26
glam rock,26
b-side,25
k1r7m,25
irish,25
ozzy osbourne,25
avant-folk,25
nickelodeon,25
comedy,25
eclectic dreaming,25
madness,25
chamber pop,24
novelty,24
trap latino,24
underground hip hop,24
puerto rico,24
pinoy pop,24
ass,23
east coast hip hop,23
1999,23
personal favourites,23
